ideal_ligand,protein,native_ligand,CNN_pose,CNN_VS,RMSD
Caffeine_min,4MGA,27L_redock_4MGA,0.6168,3.1559,inf
Caffeine_min,1ERE,EST_redock_1ERE,0.5844,3.0135,inf
Caffeine_min,3UU7,2OH_redock_3UU7,0.5608,2.8989,inf
Caffeine_min,4MG8,27J_redock_4MG8,0.5465,2.7933,inf
Caffeine_min,4MG9,27K_redock_4MG9,0.5295,2.4904,inf
Caffeine_min,1GWR,EST_redock_1GWR,0.4758,2.2858,inf
Caffeine_min,4TUZ,36J_redock_4TUZ,0.4381,2.2136,inf
DES_min,3ERD,DES_redock_3ERD,0.9885,8.2739,0.3510
DES_min,4ZN7,DES_redock_4ZN7,0.9831,8.3713,0.4748
DES_min,4MGC,27M_redock_4MGC,0.9605,7.8935,inf
DES_min,4MGA,27L_redock_4MGA,0.9527,7.4966,inf
DES_min,3UUD,EST_redock_3UUD,0.9467,7.6712,inf
DES_min,6CBZ,EST_redock_6CBZ,0.9352,7.6154,inf
DES_min,4MG8,27J_redock_4MG8,0.9279,7.3605,inf
DES_min,4TUZ,36J_redock_4TUZ,0.9202,7.4870,inf
DES_min,1ERE,EST_redock_1ERE,0.9151,7.5177,inf
DES_min,1GWR,EST_redock_1GWR,0.9093,7.4234,inf
DES_min,1G50,EST_redock_1G50,0.9019,7.3765,inf
DES_min,3UU7,2OH_redock_3UU7,0.8989,7.1107,inf
DES_min,4MG9,27K_redock_4MG9,0.8691,6.8677,inf
EE2_min,1ERE,EST_redock_1ERE,0.9558,8.1882,0.7314
EE2_min,1ERE,EST_redock_1ERE,0.9558,8.1882,0.7314
EE2_min,4MG9,27K_redock_4MG9,0.9266,7.5236,inf
EE2_min,1GWR,EST_redock_1GWR,0.9230,7.7560,0.8461
EE2_min,6CBZ,EST_redock_6CBZ,0.8927,7.3132,0.8490
EE2_min,3UUD,EST_redock_3UUD,0.8914,7.3204,0.7824
EE2_min,4ZN7,DES_redock_4ZN7,0.8765,7.2831,inf
EE2_min,4MG8,27J_redock_4MG8,0.8753,7.2929,inf
EE2_min,3ERD,DES_redock_3ERD,0.8719,6.9036,inf
EE2_min,4TUZ,36J_redock_4TUZ,0.8450,7.0344,inf
EE2_min,1G50,EST_redock_1G50,0.8342,6.7691,1.0544
EE2_min,4MGC,27M_redock_4MGC,0.7943,6.2074,inf
EE2_min,4MGA,27L_redock_4MGA,0.7267,5.4937,inf
EE2_min,3UU7,2OH_redock_3UU7,0.6127,4.7404,inf
EST_min,3UUD,EST_redock_3UUD,0.9860,8.0865,0.6127
EST_min,6CBZ,EST_redock_6CBZ,0.9833,8.2554,0.5213
EST_min,1ERE,EST_redock_1ERE,0.9824,8.1945,0.5143
EST_min,4ZN7,DES_redock_4ZN7,0.9763,8.3163,inf
EST_min,1GWR,EST_redock_1GWR,0.9745,8.0174,0.5655
EST_min,4MG8,27J_redock_4MG8,0.9739,7.8386,inf
EST_min,3ERD,DES_redock_3ERD,0.9714,7.6733,inf
EST_min,4TUZ,36J_redock_4TUZ,0.9704,8.0196,inf
EST_min,1G50,EST_redock_1G50,0.9666,8.0684,0.8430
EST_min,4MGC,27M_redock_4MGC,0.9589,7.8100,inf
EST_min,3UU7,2OH_redock_3UU7,0.9168,7.3347,inf
EST_min,4MG9,27K_redock_4MG9,0.8965,6.8778,inf
EST_min,4MGA,27L_redock_4MGA,0.8697,6.8930,inf
Melatonin_min,4MGA,27L_redock_4MGA,0.7674,5.1914,inf
Melatonin_min,4MG8,27J_redock_4MG8,0.7310,4.9540,inf
Melatonin_min,4MGC,27M_redock_4MGC,0.6844,4.3841,inf
Melatonin_min,6CBZ,EST_redock_6CBZ,0.6547,4.5785,inf
Melatonin_min,4ZN7,DES_redock_4ZN7,0.5920,3.7509,inf
Melatonin_min,1GWR,EST_redock_1GWR,0.5793,3.5796,inf
Melatonin_min,4TUZ,36J_redock_4TUZ,0.5218,3.6095,inf
Melatonin_min,1ERE,EST_redock_1ERE,0.5194,3.4204,inf
Melatonin_min,4MG9,27K_redock_4MG9,0.5001,3.2387,inf
Melatonin_min,3UU7,2OH_redock_3UU7,0.4867,3.0307,inf
Melatonin_min,3ERD,DES_redock_3ERD,0.4782,3.1301,inf
Melatonin_min,3UUD,EST_redock_3UUD,0.4548,2.7593,inf
Melatonin_min,1G50,EST_redock_1G50,0.4472,2.8081,inf
Testosterone_min,4MGC,27M_redock_4MGC,0.9339,7.5010,inf
Testosterone_min,4TUZ,36J_redock_4TUZ,0.9078,7.2339,inf
Testosterone_min,4MG8,27J_redock_4MG8,0.9067,7.2621,inf
Testosterone_min,3UUD,EST_redock_3UUD,0.9060,7.1973,0.6182
Testosterone_min,6CBZ,EST_redock_6CBZ,0.9043,7.2466,0.6536
Testosterone_min,3ERD,DES_redock_3ERD,0.9035,6.9572,inf
Testosterone_min,3UU7,2OH_redock_3UU7,0.8875,7.0265,inf
Testosterone_min,1GWR,EST_redock_1GWR,0.8831,6.9432,0.6700
Testosterone_min,1G50,EST_redock_1G50,0.8829,7.0282,0.8846
Testosterone_min,1ERE,EST_redock_1ERE,0.8822,6.9683,0.7271
Testosterone_min,4MG9,27K_redock_4MG9,0.8739,6.6298,inf
Testosterone_min,4ZN7,DES_redock_4ZN7,0.8539,6.8480,inf
Testosterone_min,4MGA,27L_redock_4MGA,0.7809,6.1970,inf
