protein,ideal_ligand,native_ligand,CNN_pose,CNN_VS,RMSD
1ERE,decoy72,EST_redock_1ERE,0.8103,6.4065,inf
1ERE,decoy243,EST_redock_1ERE,0.8095,5.8911,inf
1ERE,126-00-1_min,EST_redock_1ERE,0.8095,6.0069,inf
1ERE,decoy281,EST_redock_1ERE,0.8049,5.4540,inf
1ERE,decoy168,EST_redock_1ERE,0.8040,6.0783,inf
1ERE,decoy111,EST_redock_1ERE,0.8031,5.4277,inf
1ERE,decoy81,EST_redock_1ERE,0.8030,5.9186,inf
1ERE,decoy240,EST_redock_1ERE,0.7989,5.5349,inf
1ERE,60-57-1_min,EST_redock_1ERE,0.7975,6.2816,inf
1ERE,36J_min,EST_redock_1ERE,0.7972,5.4009,inf
1ERE,decoy183,EST_redock_1ERE,0.7968,5.5578,inf
1ERE,decoy336,EST_redock_1ERE,0.7960,5.8842,inf
1ERE,15372-34-6_min,EST_redock_1ERE,0.7940,5.7071,inf
1ERE,decoy87,EST_redock_1ERE,0.7913,5.5747,inf
1ERE,decoy309,EST_redock_1ERE,0.7910,5.4068,inf
1ERE,decoy288,EST_redock_1ERE,0.7886,5.5314,inf
1ERE,decoy18,EST_redock_1ERE,0.7881,3.6363,inf
1ERE,75938-34-0_min,EST_redock_1ERE,0.7857,5.9930,inf
1ERE,decoy60,EST_redock_1ERE,0.7853,5.1592,inf
1ERE,decoy230,EST_redock_1ERE,0.7851,4.9689,inf
1ERE,57-83-0_min,EST_redock_1ERE,0.7844,6.1122,inf
1ERE,decoy257,EST_redock_1ERE,0.7842,6.1600,inf
1ERE,decoy388,EST_redock_1ERE,0.7841,5.2802,inf
1ERE,72-43-5_min,EST_redock_1ERE,0.7815,5.6646,inf
1ERE,decoy184,EST_redock_1ERE,0.7807,5.6192,inf
1ERE,decoy92,EST_redock_1ERE,0.7806,5.7076,inf
1ERE,68-23-5_min,EST_redock_1ERE,0.7806,6.1209,0.7805
1ERE,decoy5,EST_redock_1ERE,0.7792,6.0067,inf
1ERE,decoy330,EST_redock_1ERE,0.7782,6.0179,inf
1ERE,97-53-0_min,EST_redock_1ERE,0.7769,4.4278,inf
1ERE,decoy227,EST_redock_1ERE,0.7766,5.4208,inf
1ERE,decoy180,EST_redock_1ERE,0.7759,5.4378,inf
1ERE,decoy431,EST_redock_1ERE,0.7747,6.0555,inf
1ERE,decoy245,EST_redock_1ERE,0.7745,6.1384,inf
1ERE,121-33-5_min,EST_redock_1ERE,0.7719,3.5639,inf
1ERE,72-54-8_min,EST_redock_1ERE,0.7683,5.4427,inf
1ERE,decoy178,EST_redock_1ERE,0.7642,5.4003,inf
1ERE,84-69-5_min,EST_redock_1ERE,0.7625,4.3517,inf
1ERE,611-99-4_min,EST_redock_1ERE,0.7607,5.2561,inf
1ERE,decoy407,EST_redock_1ERE,0.7593,5.5189,inf
1ERE,decoy250,EST_redock_1ERE,0.7589,5.2110,inf
1ERE,decoy121,EST_redock_1ERE,0.7586,4.9702,inf
1ERE,decoy4,EST_redock_1ERE,0.7570,5.2736,inf
1ERE,decoy416,EST_redock_1ERE,0.7567,4.6165,inf
1ERE,decoy154,EST_redock_1ERE,0.7565,5.1125,inf
1ERE,84-74-2_min,EST_redock_1ERE,0.7561,4.0572,inf
1ERE,decoy216,EST_redock_1ERE,0.7550,5.4650,inf
1ERE,5394-98-9_min,EST_redock_1ERE,0.7540,5.2313,inf
1ERE,decoy19,EST_redock_1ERE,0.7518,4.6132,inf
1ERE,decoy171,EST_redock_1ERE,0.7517,4.7298,inf
1ERE,decoy82,EST_redock_1ERE,0.7482,5.2931,inf
1ERE,decoy274,EST_redock_1ERE,0.7477,4.5165,inf
1ERE,50-22-6_min,EST_redock_1ERE,0.7475,5.3926,inf
1ERE,decoy305,EST_redock_1ERE,0.7471,5.7220,inf
1ERE,decoy63,EST_redock_1ERE,0.7464,4.6880,inf
1ERE,decoy29,EST_redock_1ERE,0.7423,4.8274,inf
1ERE,decoy279,EST_redock_1ERE,0.7385,4.9654,inf
1ERE,decoy15,EST_redock_1ERE,0.7374,4.7924,inf
1ERE,decoy45,EST_redock_1ERE,0.7357,5.0522,inf
1ERE,115-29-7_min,EST_redock_1ERE,0.7346,5.3824,inf
1ERE,27M_min,EST_redock_1ERE,0.7345,4.8014,inf
1ERE,603-45-2_min,EST_redock_1ERE,0.7340,5.6729,inf
1ERE,decoy259,EST_redock_1ERE,0.7331,5.2323,inf
1ERE,decoy24,EST_redock_1ERE,0.7321,5.3448,inf
1ERE,decoy223,EST_redock_1ERE,0.7307,5.1568,inf
1ERE,decoy220,EST_redock_1ERE,0.7281,5.2075,inf
1ERE,decoy425,EST_redock_1ERE,0.7250,5.1618,inf
1ERE,decoy268,EST_redock_1ERE,0.7183,4.7967,inf
1ERE,decoy282,EST_redock_1ERE,0.7163,5.0864,inf
1ERE,decoy62,EST_redock_1ERE,0.7145,4.4505,inf
1ERE,decoy258,EST_redock_1ERE,0.7142,5.0781,inf
1ERE,decoy242,EST_redock_1ERE,0.7141,4.8757,inf
1ERE,decoy179,EST_redock_1ERE,0.7121,5.1131,inf
1ERE,58-89-9_min,EST_redock_1ERE,0.7109,4.4010,inf
1ERE,decoy112,EST_redock_1ERE,0.7096,5.2157,inf
1ERE,decoy175,EST_redock_1ERE,0.7032,4.7437,inf
1ERE,90-43-7_min,EST_redock_1ERE,0.7016,3.3305,inf
1ERE,decoy85,EST_redock_1ERE,0.7015,5.0245,inf
1ERE,decoy6,EST_redock_1ERE,0.7014,4.5075,inf
1ERE,decoy381,EST_redock_1ERE,0.7000,5.0608,inf
1ERE,3434-79-5_min,EST_redock_1ERE,0.6998,5.3545,0.4944
1ERE,571-22-2_min,EST_redock_1ERE,0.6991,5.3655,1.1334
1ERE,decoy235,EST_redock_1ERE,0.6978,5.0226,inf
1ERE,140-10-3_min,EST_redock_1ERE,0.6952,3.1822,inf
1ERE,decoy322,EST_redock_1ERE,0.6942,4.9488,inf
1ERE,decoy208,EST_redock_1ERE,0.6938,4.8014,inf
1ERE,decoy255,EST_redock_1ERE,0.6919,4.5851,inf
1ERE,decoy429,EST_redock_1ERE,0.6873,5.1161,inf
1ERE,decoy297,EST_redock_1ERE,0.6858,4.6092,inf
1ERE,decoy290,EST_redock_1ERE,0.6851,4.1596,inf
1ERE,decoy76,EST_redock_1ERE,0.6840,4.6823,inf
1ERE,decoy266,EST_redock_1ERE,0.6838,4.8275,inf
1ERE,143-74-8_min,EST_redock_1ERE,0.6835,4.8731,inf
1ERE,decoy197,EST_redock_1ERE,0.6828,5.0740,inf
1ERE,77-09-8_min,EST_redock_1ERE,0.6810,4.8457,inf
1ERE,decoy3,EST_redock_1ERE,0.6808,4.3304,inf
1ERE,decoy156,EST_redock_1ERE,0.6782,4.7241,inf
1ERE,decoy169,EST_redock_1ERE,0.6758,4.3563,inf
1ERE,decoy57,EST_redock_1ERE,0.6753,4.8610,inf
1ERE,decoy364,EST_redock_1ERE,0.6743,4.4577,inf
1ERE,decoy359,EST_redock_1ERE,0.6743,4.1849,inf
1ERE,decoy261,EST_redock_1ERE,0.6733,4.6271,inf
1ERE,decoy151,EST_redock_1ERE,0.6723,4.9552,inf
1ERE,decoy394,EST_redock_1ERE,0.6691,4.8394,inf
1ERE,decoy41,EST_redock_1ERE,0.6689,4.5167,inf
1ERE,decoy101,EST_redock_1ERE,0.6683,4.3036,inf
1ERE,decoy90,EST_redock_1ERE,0.6653,4.9158,inf
1ERE,decoy361,EST_redock_1ERE,0.6649,5.1183,inf
1ERE,decoy415,EST_redock_1ERE,0.6638,4.4706,inf
1ERE,decoy239,EST_redock_1ERE,0.6624,4.4406,inf
1ERE,decoy222,EST_redock_1ERE,0.6618,4.6975,inf
1ERE,decoy212,EST_redock_1ERE,0.6617,4.5280,inf
1ERE,decoy386,EST_redock_1ERE,0.6613,4.5368,inf
1ERE,decoy67,EST_redock_1ERE,0.6591,4.2410,inf
1ERE,decoy422,EST_redock_1ERE,0.6590,4.5843,inf
1ERE,decoy392,EST_redock_1ERE,0.6565,4.3231,inf
1ERE,decoy130,EST_redock_1ERE,0.6557,4.5631,inf
1ERE,decoy191,EST_redock_1ERE,0.6550,4.3800,inf
1ERE,decoy349,EST_redock_1ERE,0.6541,4.6563,inf
1ERE,50-29-3_min,EST_redock_1ERE,0.6527,4.6482,inf
1ERE,decoy384,EST_redock_1ERE,0.6522,4.5572,inf
1ERE,decoy393,EST_redock_1ERE,0.6506,4.0962,inf
1ERE,decoy291,EST_redock_1ERE,0.6490,4.4817,inf
1ERE,decoy406,EST_redock_1ERE,0.6450,4.8169,inf
1ERE,decoy329,EST_redock_1ERE,0.6436,5.1119,inf
1ERE,decoy251,EST_redock_1ERE,0.6409,4.3722,inf
1ERE,decoy214,EST_redock_1ERE,0.6403,4.5906,inf
1ERE,decoy32,EST_redock_1ERE,0.6394,4.7587,inf
1ERE,5108-94-1_min,EST_redock_1ERE,0.6390,5.0504,6.5720
1ERE,decoy302,EST_redock_1ERE,0.6378,3.9203,inf
1ERE,decoy203,EST_redock_1ERE,0.6361,4.3112,inf
1ERE,decoy93,EST_redock_1ERE,0.6355,4.1695,inf
1ERE,decoy95,EST_redock_1ERE,0.6287,4.4009,inf
1ERE,decoy219,EST_redock_1ERE,0.6284,4.4873,inf
1ERE,decoy110,EST_redock_1ERE,0.6273,4.0549,inf
1ERE,decoy165,EST_redock_1ERE,0.6262,3.6714,inf
1ERE,decoy131,EST_redock_1ERE,0.6252,4.1316,inf
1ERE,decoy22,EST_redock_1ERE,0.6247,3.9842,inf
1ERE,decoy318,EST_redock_1ERE,0.6243,4.7765,inf
1ERE,decoy363,EST_redock_1ERE,0.6242,4.4980,inf
1ERE,143-50-0_min,EST_redock_1ERE,0.6236,5.1971,inf
1ERE,decoy43,EST_redock_1ERE,0.6218,4.1400,inf
1ERE,decoy23,EST_redock_1ERE,0.6208,3.9825,inf
1ERE,decoy317,EST_redock_1ERE,0.6206,4.3737,inf
1ERE,decoy275,EST_redock_1ERE,0.6200,4.6294,inf
1ERE,7773-34-4_min,EST_redock_1ERE,0.6189,4.5551,inf
1ERE,decoy51,EST_redock_1ERE,0.6139,4.3218,inf
1ERE,decoy389,EST_redock_1ERE,0.6113,4.4826,inf
1ERE,decoy150,EST_redock_1ERE,0.6112,4.4866,inf
1ERE,decoy351,EST_redock_1ERE,0.6110,4.0386,inf
1ERE,decoy319,EST_redock_1ERE,0.6079,4.1504,inf
1ERE,decoy355,EST_redock_1ERE,0.6064,4.0767,inf
1ERE,decoy83,EST_redock_1ERE,0.6056,4.3766,inf
1ERE,decoy306,EST_redock_1ERE,0.6043,4.4034,inf
1ERE,decoy249,EST_redock_1ERE,0.6035,3.6888,inf
1ERE,2050-68-2_min,EST_redock_1ERE,0.6028,3.5199,inf
1ERE,decoy27,EST_redock_1ERE,0.5999,4.3188,inf
1ERE,decoy304,EST_redock_1ERE,0.5998,4.2347,inf
1ERE,decoy7,EST_redock_1ERE,0.5992,4.2238,inf
1ERE,decoy109,EST_redock_1ERE,0.5969,3.9180,inf
1ERE,50-02-2_min,EST_redock_1ERE,0.5959,4.6077,1.3278
1ERE,decoy118,EST_redock_1ERE,0.5941,4.2973,inf
1ERE,207-13-4_min,EST_redock_1ERE,0.5937,3.1756,inf
1ERE,decoy320,EST_redock_1ERE,0.5930,4.4666,inf
1ERE,decoy409,EST_redock_1ERE,0.5911,4.3887,inf
1ERE,decoy114,EST_redock_1ERE,0.5901,4.3411,inf
1ERE,decoy195,EST_redock_1ERE,0.5879,4.2964,inf
1ERE,decoy116,EST_redock_1ERE,0.5868,3.9186,inf
1ERE,decoy37,EST_redock_1ERE,0.5861,3.5824,inf
1ERE,decoy36,EST_redock_1ERE,0.5849,4.0965,inf
1ERE,Caffeine_min,EST_redock_1ERE,0.5844,3.0135,inf
1ERE,decoy260,EST_redock_1ERE,0.5834,4.3426,inf
1ERE,decoy246,EST_redock_1ERE,0.5827,4.0974,inf
1ERE,decoy376,EST_redock_1ERE,0.5821,4.2521,inf
1ERE,decoy396,EST_redock_1ERE,0.5819,4.0176,inf
1ERE,decoy159,EST_redock_1ERE,0.5816,4.1824,inf
1ERE,decoy50,EST_redock_1ERE,0.5814,4.3350,inf
1ERE,decoy8,EST_redock_1ERE,0.5803,4.0001,inf
1ERE,decoy252,EST_redock_1ERE,0.5792,3.9220,inf
1ERE,decoy226,EST_redock_1ERE,0.5787,3.8733,inf
1ERE,decoy64,EST_redock_1ERE,0.5763,3.7764,inf
1ERE,decoy205,EST_redock_1ERE,0.5755,3.8722,inf
1ERE,decoy272,EST_redock_1ERE,0.5753,3.4758,inf
1ERE,decoy414,EST_redock_1ERE,0.5744,3.8491,inf
1ERE,decoy401,EST_redock_1ERE,0.5733,3.9264,inf
1ERE,decoy356,EST_redock_1ERE,0.5725,3.4592,inf
1ERE,decoy404,EST_redock_1ERE,0.5721,3.7884,inf
1ERE,decoy428,EST_redock_1ERE,0.5718,3.9026,inf
1ERE,decoy333,EST_redock_1ERE,0.5715,3.7591,inf
1ERE,decoy348,EST_redock_1ERE,0.5706,3.7418,inf
1ERE,decoy69,EST_redock_1ERE,0.5702,3.9866,inf
1ERE,decoy374,EST_redock_1ERE,0.5696,3.8007,inf
1ERE,decoy360,EST_redock_1ERE,0.5685,4.1631,inf
1ERE,decoy287,EST_redock_1ERE,0.5676,3.1970,inf
1ERE,decoy39,EST_redock_1ERE,0.5656,4.0983,inf
1ERE,decoy405,EST_redock_1ERE,0.5628,3.6778,inf
1ERE,decoy314,EST_redock_1ERE,0.5627,3.7291,inf
1ERE,decoy113,EST_redock_1ERE,0.5622,3.9703,inf
1ERE,decoy342,EST_redock_1ERE,0.5607,4.0603,inf
1ERE,decoy30,EST_redock_1ERE,0.5603,3.9067,inf
1ERE,decoy106,EST_redock_1ERE,0.5599,3.5791,inf
1ERE,decoy210,EST_redock_1ERE,0.5596,4.1645,inf
1ERE,27J_min,EST_redock_1ERE,0.5555,3.5479,inf
1ERE,decoy160,EST_redock_1ERE,0.5540,4.0373,inf
1ERE,decoy308,EST_redock_1ERE,0.5517,3.9853,inf
1ERE,decoy172,EST_redock_1ERE,0.5508,3.8297,inf
1ERE,decoy413,EST_redock_1ERE,0.5505,3.4104,inf
1ERE,decoy196,EST_redock_1ERE,0.5502,3.9587,inf
1ERE,decoy132,EST_redock_1ERE,0.5493,3.8862,inf
1ERE,decoy295,EST_redock_1ERE,0.5483,3.4300,inf
1ERE,decoy80,EST_redock_1ERE,0.5477,3.9385,inf
1ERE,decoy119,EST_redock_1ERE,0.5462,3.4143,inf
1ERE,decoy301,EST_redock_1ERE,0.5427,4.0350,inf
1ERE,decoy427,EST_redock_1ERE,0.5407,3.6230,inf
1ERE,decoy188,EST_redock_1ERE,0.5403,3.8241,inf
1ERE,decoy271,EST_redock_1ERE,0.5402,4.0650,inf
1ERE,decoy129,EST_redock_1ERE,0.5387,3.3324,inf
1ERE,decoy84,EST_redock_1ERE,0.5370,3.6252,inf
1ERE,decoy299,EST_redock_1ERE,0.5366,4.0003,inf
1ERE,decoy102,EST_redock_1ERE,0.5361,3.5753,inf
1ERE,72-33-3_min,EST_redock_1ERE,0.5353,4.0294,0.6474
1ERE,decoy44,EST_redock_1ERE,0.5336,3.6043,inf
1ERE,decoy307,EST_redock_1ERE,0.5328,4.2476,inf
1ERE,decoy59,EST_redock_1ERE,0.5324,3.5553,inf
1ERE,decoy232,EST_redock_1ERE,0.5308,3.7322,inf
1ERE,decoy382,EST_redock_1ERE,0.5290,3.7183,inf
1ERE,72-55-9_min,EST_redock_1ERE,0.5278,3.5982,inf
1ERE,decoy264,EST_redock_1ERE,0.5272,3.7296,inf
1ERE,decoy207,EST_redock_1ERE,0.5270,3.6355,inf
1ERE,decoy56,EST_redock_1ERE,0.5269,2.8323,inf
1ERE,decoy298,EST_redock_1ERE,0.5252,3.4851,inf
1ERE,decoy182,EST_redock_1ERE,0.5241,3.1594,inf
1ERE,decoy420,EST_redock_1ERE,0.5237,3.5287,inf
1ERE,decoy200,EST_redock_1ERE,0.5229,3.2277,inf
1ERE,decoy162,EST_redock_1ERE,0.5228,3.4749,inf
1ERE,decoy17,EST_redock_1ERE,0.5216,3.7658,inf
1ERE,decoy157,EST_redock_1ERE,0.5209,3.7116,inf
1ERE,Melatonin_min,EST_redock_1ERE,0.5194,3.4204,inf
1ERE,decoy399,EST_redock_1ERE,0.5187,3.3886,inf
1ERE,decoy403,EST_redock_1ERE,0.5182,3.4106,inf
1ERE,decoy335,EST_redock_1ERE,0.5174,3.6117,inf
1ERE,decoy9,EST_redock_1ERE,0.5163,3.9116,inf
1ERE,decoy332,EST_redock_1ERE,0.5160,3.8582,inf
1ERE,decoy224,EST_redock_1ERE,0.5157,3.3050,inf
1ERE,decoy221,EST_redock_1ERE,0.5153,3.4059,inf
1ERE,decoy326,EST_redock_1ERE,0.5143,4.0371,inf
1ERE,decoy217,EST_redock_1ERE,0.5127,3.5289,inf
1ERE,decoy241,EST_redock_1ERE,0.5121,3.3734,inf
1ERE,decoy426,EST_redock_1ERE,0.5117,3.5390,inf
1ERE,decoy107,EST_redock_1ERE,0.5108,3.8753,inf
1ERE,decoy158,EST_redock_1ERE,0.5108,2.9844,inf
1ERE,decoy344,EST_redock_1ERE,0.5102,3.5685,inf
1ERE,decoy353,EST_redock_1ERE,0.5098,3.4730,inf
1ERE,decoy311,EST_redock_1ERE,0.5096,3.6283,inf
1ERE,decoy421,EST_redock_1ERE,0.5083,3.4406,inf
1ERE,decoy25,EST_redock_1ERE,0.5078,3.6604,inf
1ERE,decoy412,EST_redock_1ERE,0.5077,3.4559,inf
1ERE,decoy201,EST_redock_1ERE,0.5073,2.8534,inf
1ERE,131-57-7_min,EST_redock_1ERE,0.5059,2.7569,inf
1ERE,decoy2,EST_redock_1ERE,0.5055,3.4324,inf
1ERE,decoy391,EST_redock_1ERE,0.5020,3.4826,inf
1ERE,decoy79,EST_redock_1ERE,0.5015,3.0306,inf
1ERE,decoy73,EST_redock_1ERE,0.5005,3.0797,inf
1ERE,decoy42,EST_redock_1ERE,0.5002,3.2573,inf
1ERE,decoy10,EST_redock_1ERE,0.4996,3.3833,inf
1ERE,decoy89,EST_redock_1ERE,0.4971,3.1982,inf
1ERE,decoy135,EST_redock_1ERE,0.4941,3.6024,inf
1ERE,decoy256,EST_redock_1ERE,0.4937,3.2946,inf
1ERE,decoy300,EST_redock_1ERE,0.4937,3.5560,inf
1ERE,decoy289,EST_redock_1ERE,0.4899,3.3916,inf
1ERE,decoy400,EST_redock_1ERE,0.4898,3.5994,inf
1ERE,decoy379,EST_redock_1ERE,0.4893,3.4101,inf
1ERE,decoy68,EST_redock_1ERE,0.4890,3.3553,inf
1ERE,decoy146,EST_redock_1ERE,0.4884,3.4665,inf
1ERE,decoy267,EST_redock_1ERE,0.4881,3.4004,inf
1ERE,decoy328,EST_redock_1ERE,0.4878,3.5850,inf
