ideal_ligand,protein,native_ligand,CNN_pose,CNN_VS,RMSD
36J,4MGC,27M_redock_4MGC,0.8195,5.7788,inf
36J,3UU7,2OH_redock_3UU7,0.8042,5.6311,inf
36J,6CBZ,EST_redock_6CBZ,0.8033,5.6331,inf
36J,4MG9,27K_redock_4MG9,0.7941,5.2424,2.1219
36J,1ERE,EST_redock_1ERE,0.7878,5.3286,inf
36J,4MGA,27L_redock_4MGA,0.6481,4.2683,inf
36J,3ERD,DES_redock_3ERD,0.6344,4.3161,inf
36J,4ZN7,DES_redock_4ZN7,0.6338,4.3097,inf
36J,1G50,EST_redock_1G50,0.6144,4.1973,inf
Caffeine,4ZN7,DES_redock_4ZN7,0.7461,4.0389,inf
Caffeine,4MGC,27M_redock_4MGC,0.7069,3.7850,inf
Caffeine,3UUD,EST_redock_3UUD,0.6923,3.5983,inf
Caffeine,6CBZ,EST_redock_6CBZ,0.6722,3.3428,inf
Caffeine,4MGA,27L_redock_4MGA,0.6216,3.2049,inf
Caffeine,3UU7,2OH_redock_3UU7,0.5969,3.1627,inf
Caffeine,1ERE,EST_redock_1ERE,0.5773,3.0018,inf
Caffeine,3ERD,DES_redock_3ERD,0.5632,2.8020,inf
Caffeine,1GWR,EST_redock_1GWR,0.5629,2.6622,inf
Caffeine,1G50,EST_redock_1G50,0.5600,2.8125,inf
Caffeine,4MG8,27J_redock_4MG8,0.5486,2.8072,inf
Caffeine,4TUZ,36J_redock_4TUZ,0.5416,2.5926,inf
Caffeine,4MG9,27K_redock_4MG9,0.5069,2.3888,inf
DE2,3ERD,DES_redock_3ERD,0.9874,8.2287,0.3599
DE2,4ZN7,DES_redock_4ZN7,0.9831,8.4037,0.4548
DE2,4MGC,27M_redock_4MGC,0.9613,7.9750,inf
DE2,4MGA,27L_redock_4MGA,0.9507,7.5183,inf
DE2,6CBZ,EST_redock_6CBZ,0.9477,7.7282,inf
DE2,3UUD,EST_redock_3UUD,0.9395,7.6103,inf
DE2,1GWR,EST_redock_1GWR,0.9338,7.4183,inf
DE2,4MG8,27J_redock_4MG8,0.9290,7.4073,inf
DE2,1ERE,EST_redock_1ERE,0.9153,7.4409,inf
DE2,4TUZ,36J_redock_4TUZ,0.9058,7.3408,inf
DE2,1G50,EST_redock_1G50,0.8925,7.3899,inf
DE2,3UU7,2OH_redock_3UU7,0.8910,7.0147,inf
DE2,4MG9,27K_redock_4MG9,0.8675,6.8578,inf
DES,3ERD,DES_redock_3ERD,0.9874,8.2287,0.3599
DES,4ZN7,DES_redock_4ZN7,0.9831,8.4037,0.4548
DES,4MGC,27M_redock_4MGC,0.9613,7.9750,inf
DES,4MGA,27L_redock_4MGA,0.9507,7.5183,inf
DES,6CBZ,EST_redock_6CBZ,0.9477,7.7282,inf
DES,3UUD,EST_redock_3UUD,0.9395,7.6103,inf
DES,1GWR,EST_redock_1GWR,0.9338,7.4183,inf
DES,4MG8,27J_redock_4MG8,0.9290,7.4073,inf
DES,1ERE,EST_redock_1ERE,0.9153,7.4409,inf
DES,4TUZ,36J_redock_4TUZ,0.9058,7.3408,inf
DES,1G50,EST_redock_1G50,0.8925,7.3899,inf
DES,3UU7,2OH_redock_3UU7,0.8910,7.0147,inf
DES,4MG9,27K_redock_4MG9,0.8675,6.8578,inf
EST,3UUD,EST_redock_3UUD,0.9845,8.0653,0.5982
EST,1ERE,EST_redock_1ERE,0.9799,8.1912,0.5071
EST,6CBZ,EST_redock_6CBZ,0.9799,8.1821,0.6153
EST,4ZN7,DES_redock_4ZN7,0.9759,8.3379,inf
EST,4MG8,27J_redock_4MG8,0.9727,7.7769,inf
EST,1GWR,EST_redock_1GWR,0.9721,8.0226,0.5392
EST,3ERD,DES_redock_3ERD,0.9714,7.6789,inf
EST,1G50,EST_redock_1G50,0.9686,8.1152,0.8367
EST,4TUZ,36J_redock_4TUZ,0.9642,7.9653,inf
EST,4MGC,27M_redock_4MGC,0.9626,7.8050,inf
EST,4MG9,27K_redock_4MG9,0.9251,7.1691,inf
EST,3UU7,2OH_redock_3UU7,0.9151,7.3271,inf
EST,4MGA,27L_redock_4MGA,0.8760,7.0406,inf
Melatonin,4MGA,27L_redock_4MGA,0.7268,4.8801,inf
Melatonin,6CBZ,EST_redock_6CBZ,0.6846,4.8112,inf
Melatonin,4MG9,27K_redock_4MG9,0.6304,4.0516,inf
Melatonin,4MGC,27M_redock_4MGC,0.6149,3.9084,inf
Melatonin,3ERD,DES_redock_3ERD,0.6142,3.9938,inf
Melatonin,4ZN7,DES_redock_4ZN7,0.6126,4.0948,inf
Melatonin,3UUD,EST_redock_3UUD,0.5991,3.7673,inf
Melatonin,3UU7,2OH_redock_3UU7,0.5960,3.9602,inf
Melatonin,4MG8,27J_redock_4MG8,0.5879,3.7907,inf
Melatonin,1GWR,EST_redock_1GWR,0.5126,3.1705,inf
Melatonin,1ERE,EST_redock_1ERE,0.4912,3.1848,inf
Melatonin,4TUZ,36J_redock_4TUZ,0.4900,3.0264,inf
Melatonin,1G50,EST_redock_1G50,0.3722,2.3354,inf
Testosterone,4MGC,27M_redock_4MGC,0.9334,7.5245,inf
Testosterone,4MG8,27J_redock_4MG8,0.9219,7.4216,inf
Testosterone,4TUZ,36J_redock_4TUZ,0.9217,7.4217,inf
Testosterone,3UUD,EST_redock_3UUD,0.9115,7.2647,0.6180
Testosterone,6CBZ,EST_redock_6CBZ,0.9065,7.2240,0.6197
Testosterone,3ERD,DES_redock_3ERD,0.9051,6.7849,inf
Testosterone,3UU7,2OH_redock_3UU7,0.8884,7.0344,inf
Testosterone,1ERE,EST_redock_1ERE,0.8808,6.9575,0.7252
Testosterone,4MG9,27K_redock_4MG9,0.8763,6.6451,inf
Testosterone,1GWR,EST_redock_1GWR,0.8646,6.6986,0.6571
Testosterone,1G50,EST_redock_1G50,0.8560,6.8655,0.8710
Testosterone,4ZN7,DES_redock_4ZN7,0.8497,6.7941,inf
Testosterone,4MGA,27L_redock_4MGA,0.7588,6.0165,inf
